Player name,position,Games,Runs,Hits,home run,run batted in,Strikeouts,AVG,On-base Percentage
J Stone,OF,1200,739,1391,77,707,352,0.31,0.376
T Laudner,C,734,221,458,77,263,553,0.225,0.292
G Mitterwald,C,887,251,623,76,301,607,0.236,0.296
R Ankiel,CF,653,260,462,76,251,555,0.24,0.302
S Bilko,1B,600,220,432,76,276,395,0.249,0.336
M Loretta,2B,1726,768,1713,76,629,605,0.295,0.36
M Giles,2B,792,468,813,76,333,523,0.277,0.353
P Kelly,RF,1385,620,1147,76,418,768,0.264,0.354
T Horton,1B,636,251,597,76,297,319,0.268,0.313
H Morris,1B,1246,535,1216,76,513,548,0.304,0.361
R Garr,LF,1317,717,1562,75,408,445,0.306,0.339
S West,OF,1753,934,1838,75,838,540,0.299,0.371
T Bernazard,2B,1071,523,970,75,391,606,0.262,0.339
J Burkett,LF,707,1720,2850,75,952,230,0.338,0.415
T Taylor,2B,2195,1005,2007,75,598,1083,0.261,0.321
J Kendall,C,2085,1030,2195,75,744,686,0.288,0.366
Y Solarte,3B,670,282,620,75,307,326,0.258,0.315
W Helms,1B,1212,280,694,75,374,687,0.256,0.318
H Davis,1B,1417,1001,1841,75,951,45,0.277,0.335
W Betemit,3B,805,264,558,75,283,612,0.267,0.332
H Hooper,RF,2311,1429,2466,75,817,412,0.281,0.368
D Coles,3B,957,333,709,75,368,445,0.245,0.307
T McCraw,1B,1469,484,972,75,404,544,0.246,0.309
B Reynolds,LF,496,275,503,75,241,440,0.281,0.361
D Gladden,LF,1197,663,1215,74,446,625,0.27,0.324
E Konetchy,1B,1933,972,2150,74,992,545,0.281,0.346
M Taylor,CF,843,311,620,74,281,823,0.241,0.296
L Doyle,2B,1767,960,1887,74,793,274,0.29,0.357
J Denny,3B,1237,714,1286,74,667,602,0.26,0.287
J Lefebvre,2B,922,313,756,74,404,447,0.251,0.323
A D?az,SS,585,264,530,74,270,322,0.266,0.32
O McDowell,CF,829,458,715,74,266,550,0.253,0.323
K Seitzer,3B,1439,739,1557,74,613,617,0.295,0.375
M Yastrzemski,CF,452,255,372,74,221,439,0.243,0.327
K Tucker,RF,402,214,376,74,260,266,0.268,0.336
A Kosco,RF,658,204,464,73,267,350,0.236,0.273
G Watkins,OF,894,490,925,73,420,382,0.288,0.347
