index, table #, collisions
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
11,0,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,0
12,0,0
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,0
12,9,0
13,0,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
14,0,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
14,9,0
15,0,0
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0
15,8,0
15,9,0
16,0,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
17,0,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
18,0,1
18,1,1
18,2,1
18,3,1
18,4,1
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
19,0,1
19,1,1
19,2,1
19,3,1
19,4,1
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
20,0,1
20,1,1
20,2,1
20,3,1
20,4,1
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
21,0,1
21,1,1
21,2,1
21,3,1
21,4,1
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
22,0,1
22,1,1
22,2,1
22,3,1
22,4,1
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
23,0,1
23,1,1
23,2,1
23,3,1
23,4,1
23,5,0
23,6,0
23,7,0
23,8,0
23,9,0
24,0,1
24,1,1
24,2,1
24,3,1
24,4,1
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
25,0,1
25,1,1
25,2,1
25,3,1
25,4,1
25,5,0
25,6,0
25,7,0
25,8,0
25,9,0
26,0,1
26,1,1
26,2,1
26,3,1
26,4,1
26,5,0
26,6,0
26,7,0
26,8,0
26,9,0
27,0,1
27,1,1
27,2,1
27,3,1
27,4,1
27,5,0
27,6,0
27,7,0
27,8,0
27,9,0
28,0,1
28,1,1
28,2,1
28,3,1
28,4,1
28,5,0
28,6,0
28,7,0
28,8,0
28,9,0
29,0,1
29,1,1
29,2,1
29,3,1
29,4,1
29,5,0
29,6,0
29,7,0
29,8,0
29,9,0
30,0,1
30,1,1
30,2,1
30,3,1
30,4,1
30,5,0
30,6,0
30,7,0
30,8,0
30,9,0
31,0,1
31,1,1
31,2,1
31,3,1
31,4,1
31,5,0
31,6,0
31,7,0
31,8,0
31,9,0
32,0,1
32,1,1
32,2,1
32,3,1
32,4,1
32,5,0
32,6,0
32,7,0
32,8,0
32,9,0
33,0,1
33,1,1
33,2,1
33,3,1
33,4,1
33,5,0
33,6,0
33,7,0
33,8,0
33,9,0
34,0,1
34,1,1
34,2,1
34,3,1
34,4,1
34,5,0
34,6,0
34,7,0
34,8,0
34,9,0
35,0,1
35,1,1
35,2,1
35,3,1
35,4,1
35,5,0
35,6,0
35,7,0
35,8,0
35,9,0
36,0,1
36,1,1
36,2,1
36,3,1
36,4,1
36,5,0
36,6,0
36,7,0
36,8,0
36,9,0
37,0,1
37,1,1
37,2,1
37,3,1
37,4,1
37,5,0
37,6,0
37,7,0
37,8,0
37,9,0
38,0,1
38,1,1
38,2,1
38,3,1
38,4,1
38,5,0
38,6,0
38,7,0
38,8,0
38,9,0
39,0,1
39,1,1
39,2,1
39,3,1
39,4,1
39,5,0
39,6,0
39,7,0
39,8,0
39,9,0
40,0,1
40,1,1
40,2,1
40,3,1
40,4,1
40,5,0
40,6,0
40,7,0
40,8,0
40,9,0
41,0,1
41,1,1
41,2,1
41,3,1
41,4,1
41,5,0
41,6,0
41,7,0
41,8,0
41,9,0
42,0,1
42,1,1
42,2,1
42,3,1
42,4,1
42,5,0
42,6,0
42,7,0
42,8,0
42,9,0
43,0,1
43,1,1
43,2,1
43,3,1
43,4,1
43,5,0
43,6,0
43,7,0
43,8,0
43,9,0
44,0,1
44,1,1
44,2,1
44,3,1
44,4,1
44,5,0
44,6,0
44,7,0
44,8,0
44,9,0
45,0,1
45,1,1
45,2,1
45,3,1
45,4,1
45,5,0
45,6,0
45,7,0
45,8,0
45,9,0
46,0,1
46,1,1
46,2,1
46,3,1
46,4,1
46,5,0
46,6,0
46,7,0
46,8,0
46,9,0
47,0,1
47,1,1
47,2,1
47,3,1
47,4,1
47,5,0
47,6,0
47,7,0
47,8,0
47,9,0
48,0,1
48,1,1
48,2,1
48,3,1
48,4,1
48,5,0
48,6,0
48,7,0
48,8,0
48,9,0
49,0,2
49,1,2
49,2,2
49,3,2
49,4,2
49,5,0
49,6,0
49,7,0
49,8,0
49,9,0
50,0,2
50,1,2
50,2,2
50,3,2
50,4,2
50,5,0
50,6,0
50,7,0
50,8,0
50,9,0
51,0,2
51,1,2
51,2,2
51,3,2
51,4,2
51,5,0
51,6,0
51,7,0
51,8,0
51,9,0
52,0,2
52,1,2
52,2,2
52,3,2
52,4,2
52,5,0
52,6,0
52,7,0
52,8,0
52,9,0
53,0,2
53,1,2
53,2,2
53,3,2
53,4,2
53,5,0
53,6,0
53,7,0
53,8,0
53,9,0
54,0,2
54,1,2
54,2,2
54,3,2
54,4,2
54,5,0
54,6,0
54,7,0
54,8,0
54,9,0
55,0,2
55,1,2
55,2,2
55,3,2
55,4,2
55,5,0
55,6,0
55,7,0
55,8,0
55,9,0
56,0,2
56,1,2
56,2,2
56,3,2
56,4,2
56,5,0
56,6,0
56,7,0
56,8,0
56,9,0
57,0,2
57,1,2
57,2,2
57,3,2
57,4,2
57,5,0
57,6,0
57,7,0
57,8,0
57,9,0
58,0,2
58,1,2
58,2,2
58,3,2
58,4,2
58,5,0
58,6,0
58,7,0
58,8,0
58,9,0
59,0,2
59,1,2
59,2,2
59,3,2
59,4,2
59,5,0
59,6,0
59,7,0
59,8,0
59,9,0
60,0,2
60,1,2
60,2,2
60,3,2
60,4,2
60,5,0
60,6,0
60,7,0
60,8,0
60,9,0
61,0,2
61,1,2
61,2,2
61,3,2
61,4,2
61,5,0
61,6,0
61,7,0
61,8,0
61,9,0
62,0,2
62,1,2
